"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","WT01","WT01_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00122166","2012-01-30","40.8575","-86.0747","209.1","DENVER, IN US",,,"    1",",,7"
"USC00122166","2013-12-20","40.8575","-86.0747","209.1","DENVER, IN US","    1",",,7",,
