"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00124698","1893-01-01","38.05","-86.13333","167.6","LACONIA, IN US","  305",",,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-02","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-03","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-04","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-05","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-06","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-07","38.05","-86.13333","167.6","LACONIA, IN US","   51",",,6","   51",",,6",,,,,,,,
"USC00124698","1893-01-08","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-09","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-10","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-11","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-12","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-13","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-14","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-15","38.05","-86.13333","167.6","LACONIA, IN US","   51",",,6","   51",",,6",,,,,,,,
"USC00124698","1893-01-16","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-17","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-18","38.05","-86.13333","167.6","LACONIA, IN US","   38",",,6","   38",",,6",,,,,,,,
"USC00124698","1893-01-19","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-20","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-21","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-22","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-23","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-24","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
"USC00124698","1893-01-25","38.05","-86.13333","167.6","LACONIA, IN US","    0","P,,6","    0",",,6",,,,,,,,
