"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00207590","1902-12-01","43.21667","-85.9",,"SLOCUM, MI US","    0","P,,6","    0",",,6",,,,,,,,,,,,
"USC00207590","1902-12-02","43.21667","-85.9",,"SLOCUM, MI US","    0","P,,6","    0",",,6",,,,,,,,,,,,
"USC00207590","1902-12-03","43.21667","-85.9",,"SLOCUM, MI US","    0","P,,6","    0",",,6",,,,,,,,,,,,
"USC00207590","1902-12-04","43.21667","-85.9",,"SLOCUM, MI US","    0","P,,6","    0",",,6",,,,,,,,,,,,
"USC00207590","1902-12-05","43.21667","-85.9",,"SLOCUM, MI US","   13",",,6","    3",",,6","   51",",,6","  -11",",,6","  -72",",,6",,,,,,
"USC00207590","1902-12-06","43.21667","-85.9",,"SLOCUM, MI US","    0",",,6","    0",",,6","   51",",,6","   22",",,6","  -22",",,6","  -11",",,6",,,,
"USC00207590","1902-12-07","43.21667","-85.9",,"SLOCUM, MI US","    0",",,6","    0",",,6","   51",",,6","  -33",",I,6","  -67",",,6","  -56",",,6",,,,
"USC00207590","1902-12-08","43.21667","-85.9",,"SLOCUM, MI US","    0",",,6","    0",",,6","   51",",,6","   -6",",,6","  -39",",I,6","  -39",",,6",,,,
"USC00207590","1902-12-09","43.21667","-85.9",,"SLOCUM, MI US","    0",",,6","    0",",,6","   51",",,6","  -56",",I,6","  -67",",,6","  -61",",,6",,,,
"USC00207590","1902-12-10","43.21667","-85.9",,"SLOCUM, MI US","    0",",,6","    0",",,6","   25",",,6","    6",",,6","  -61",",,6","  -39",",,6",,,,
"USC00207590","1902-12-11","43.21667","-85.9",,"SLOCUM, MI US","    0",",,6","    0",",,6","   25",",,6","   11",",,6","  -50",",,6","  -39",",,6",,,,
"USC00207590","1902-12-12","43.21667","-85.9",,"SLOCUM, MI US","    0",",,6","    0",",,6","   25",",,6","  -39",",,6","  -67",",,6","  -56",",,6",,,,
"USC00207590","1902-12-13","43.21667","-85.9",,"SLOCUM, MI US","    0",",,6","    0",",,6","    0",",,6","  -39",",,6","  -89",",,6","  -78",",,6",,,,
"USC00207590","1902-12-14","43.21667","-85.9",,"SLOCUM, MI US","    0",",,6","    0",",,6","    0",",,6","  -50",",,6","  -89",",,6","  -83",",,6",,,,
"USC00207590","1902-12-15","43.21667","-85.9",,"SLOCUM, MI US","   74",",,6","   51",",,6","   51",",,6","   33",",,6","  -11",",I,6","   22",",,6",,,,
"USC00207590","1902-12-16","43.21667","-85.9",,"SLOCUM, MI US","  152",",,6","   25",",,6","   76",",,6","  117",",,6","  -11",",,6","  -11",",,6",,,,
"USC00207590","1902-12-17","43.21667","-85.9",,"SLOCUM, MI US","    0",",,6","    0",",,6","   51",",,6","   17",",,6","  -11",",,6","  -11",",,6",,,,
"USC00207590","1902-12-18","43.21667","-85.9",,"SLOCUM, MI US","    0",",,6","    0",",,6","   51",",,6","  100",",,6","  -17",",,6","   -6",",,6",,,,
"USC00207590","1902-12-19","43.21667","-85.9",,"SLOCUM, MI US","   33",",,6","    0","T,,6","   25",",,6","   44",",,6","   -6",",,6","   17",",,6",,,,
"USC00207590","1902-12-20","43.21667","-85.9",,"SLOCUM, MI US","   28",",,6","    0",",,6","   25",",,6","   39",",,6","   17",",,6","   33",",,6",,,,
"USC00207590","1902-12-21","43.21667","-85.9",,"SLOCUM, MI US","   48",",,6","    0",",,6","   25",",,6","   44",",,6","   28",",,6","   39",",,6",,,,
"USC00207590","1902-12-22","43.21667","-85.9",,"SLOCUM, MI US","   15",",,6","    0",",,6","   25",",,6","   44",",,6","  -11",",,6","   -6",",,6",,,,
"USC00207590","1902-12-23","43.21667","-85.9",,"SLOCUM, MI US","    0",",,6","    0",",,6","    0",",,6","    0",",,6","  -39",",,6","  -22",",,6",,,,
"USC00207590","1902-12-24","43.21667","-85.9",,"SLOCUM, MI US","    0","P,,6","    0",",,6",,,,,,,,,,,,
"USC00207590","1902-12-25","43.21667","-85.9",,"SLOCUM, MI US","    0","P,,6","    0",",,6",,,,,,,,,,,,
"USC00207590","1902-12-26","43.21667","-85.9",,"SLOCUM, MI US","    0","P,,6","    0",",,6",,,,,,,,,,,,
"USC00207590","1902-12-27","43.21667","-85.9",,"SLOCUM, MI US","    0","P,,6","    0",",,6",,,,,,,,,,,,
"USC00207590","1902-12-28","43.21667","-85.9",,"SLOCUM, MI US","    0","P,,6","    0",",,6",,,,,,,,,,,,
"USC00207590","1902-12-29","43.21667","-85.9",,"SLOCUM, MI US","    0","P,,6","    0",",,6",,,,,,,,,,,,
"USC00207590","1902-12-30","43.21667","-85.9",,"SLOCUM, MI US","   76",",,6","   76",",,6","   51",",,6","  -11",",,6","  -50",",,6","  -33",",,6",,,,
"USC00207590","1902-12-31","43.21667","-85.9",,"SLOCUM, MI US","    0",",,6","    0",",,6","  127",",,6","   17",",,6","  -33",",,6","  -28",",,6",,,,
