"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT04","WT04_ATTRIBUTES"
"USC00468844","1985-07-01","37.95","-81.08333","326.1","THURMOND, WV US","    0","T,,0,0700",,,"    0",",,0","  278",",,0","  133",",,0",,,,,"  167",",,0,0700",,,,
"USC00468844","1985-07-02","37.95","-81.08333","326.1","THURMOND, WV US","   20",",,0,0700",,,,,"  222",",,0","  150",",,0",,,,,"  156",",,0,0700",,,,
"USC00468844","1985-07-03","37.95","-81.08333","326.1","THURMOND, WV US","   15",",,0,0700",,,,,"  239",",,0","  150",",,0",,,,,"  156",",,0,0700",,,,
"USC00468844","1985-07-04","37.95","-81.08333","326.1","THURMOND, WV US","   23",",,0,0700",,,,,"  256",",,0","  150",",,0",,,,,"  156",",,0,0700",,,,
"USC00468844","1985-07-05","37.95","-81.08333","326.1","THURMOND, WV US","    0",",,0,0700",,,,,"  272",",,0","  150",",,0",,,,,"  150",",I,0,0700",,,,
"USC00468844","1985-07-06","37.95","-81.08333","326.1","THURMOND, WV US","    0",",,0,0700",,,,,"  272",",,0","  172",",I,0",,,,,"  172",",,0,0700",,,,
"USC00468844","1985-07-07","37.95","-81.08333","326.1","THURMOND, WV US","   84",",,0,0700",,,,,"  272",",,0","  161",",,0",,,,,"  161",",,0,0700",,,,
"USC00468844","1985-07-08","37.95","-81.08333","326.1","THURMOND, WV US","    0",",,0,0700",,,,,"  267",",,0","  156",",,0",,,,,"  161",",I,0,0700",,,,
"USC00468844","1985-07-09","37.95","-81.08333","326.1","THURMOND, WV US","    0",",,0,0700",,,,,"  289",",,0","  194",",I,0",,,,,"  194",",,0,0700",,,,
"USC00468844","1985-07-10","37.95","-81.08333","326.1","THURMOND, WV US","    0","T,,0,0700",,,,,,,,,,,,,"  194",",,0,0700",,,,
"USC00468844","1985-07-11","37.95","-81.08333","326.1","THURMOND, WV US","   84",",,0,0700",,,,,,,,,,,,,"  167",",,0,0700",,,,
"USC00468844","1985-07-12","37.95","-81.08333","326.1","THURMOND, WV US","    0",",,0,0700",,,,,"  283",",,0","  167",",,0",,,,,"  178",",I,0,0700",,,,
"USC00468844","1985-07-13","37.95","-81.08333","326.1","THURMOND, WV US","    0",",,0,0700",,,,,"  256",",,0","  189",",I,0",,,,,"  189",",,0,0700",,,,
"USC00468844","1985-07-14","37.95","-81.08333","326.1","THURMOND, WV US","    0",",,0,0700",,,,,"  289",",,0","  161",",,0",,,,,"  167",",,0,0700",,,,
"USC00468844","1985-07-15","37.95","-81.08333","326.1","THURMOND, WV US","    0",",,0,0700",,,,,"  311",",,0","  167",",,0",,,,,"  200",",,0,0700",,,,
"USC00468844","1985-07-16","37.95","-81.08333","326.1","THURMOND, WV US","  279",",,0,0700",,,,,"  300",",,0","  183",",,0",,,,,"  189",",,0,0700",,,,
"USC00468844","1985-07-17","37.95","-81.08333","326.1","THURMOND, WV US","    0",",,0,0700",,,,,"  300",",,0","  139",",,0",,,,,"  139",",,0,0700",,,,
"USC00468844","1985-07-18","37.95","-81.08333","326.1","THURMOND, WV US","    0",",,0,0700",,,,,"  300",",,0","  139",",,0",,,,,"  144",",,0,0700",,,,
"USC00468844","1985-07-19","37.95","-81.08333","326.1","THURMOND, WV US","    0",",,0,0700",,,,,"  300",",,0","  139",",,0",,,,,"  156",",I,0,0700",,,,
"USC00468844","1985-07-20","37.95","-81.08333","326.1","THURMOND, WV US","    0",",,0,0700",,,,,"  311",",,0","  200",",I,0",,,,,"  200",",,0,0700",,,,
"USC00468844","1985-07-21","37.95","-81.08333","326.1","THURMOND, WV US","    0",",,0,0700",,,,,"  306",",,0","  178",",,0",,,,,"  183",",,0,0700",,,,
"USC00468844","1985-07-22","37.95","-81.08333","326.1","THURMOND, WV US","    0",",,0,0700",,,,,"  311",",,0","  178",",,0",,,,,"  189",",,0,0700",,,,
"USC00468844","1985-07-23","37.95","-81.08333","326.1","THURMOND, WV US","    0",",,0,0700",,,,,"  272",",,0","  178",",,0",,,,,"  178",",,0,0700",,,,
"USC00468844","1985-07-24","37.95","-81.08333","326.1","THURMOND, WV US","    0",",,0,0700",,,,,"  272",",,0","  150",",,0",,,,,"  161",",,0,0700",,,,
"USC00468844","1985-07-25","37.95","-81.08333","326.1","THURMOND, WV US","    0",",,0,0700",,,,,"  283",",,0","  156",",,0",,,,,"  194",",,0,0700",,,,
