"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00126056","1912-02-01","39.2401","-86.2295","210.3","NASHVILLE 2 NNE, IN US","    0","P,,6,","    0",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00126056","1912-02-02","39.2401","-86.2295","210.3","NASHVILLE 2 NNE, IN US","    0","P,,6,","    0",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00126056","1912-02-03","39.2401","-86.2295","210.3","NASHVILLE 2 NNE, IN US","    0","P,,6,","    0",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00126056","1912-02-04","39.2401","-86.2295","210.3","NASHVILLE 2 NNE, IN US","    0","P,,6,","    0",",,6,",,," -156",",,6"," -244",",,6",,,,,,,,," -156",",,6",,,,,,,,,,,,,,,,
"USC00126056","1912-02-05","39.2401","-86.2295","210.3","NASHVILLE 2 NNE, IN US","    0","T,,6,","    0","T,,6,",,,"  -67",",,6"," -156",",,6",,,,,,,,," -111",",,6",,,,,,,,,,,,,,,,
"USC00126056","1912-02-06","39.2401","-86.2295","210.3","NASHVILLE 2 NNE, IN US","    0","T,,6,","    0","T,,6,",,,"  -22",",,6"," -133",",,6",,,,,,,,," -106",",,6",,,,,,,,,,,,,,,,
"USC00126056","1912-02-07","39.2401","-86.2295","210.3","NASHVILLE 2 NNE, IN US","    0","T,,6,","    0","T,,6,",,,"  -11",",,6"," -106",",,6",,,,,,,,,"  -78",",,6",,,,,,,,,,,,,,,,
"USC00126056","1912-02-08","39.2401","-86.2295","210.3","NASHVILLE 2 NNE, IN US","    0","P,,6,","    0",",,6,",,,"  -44",",,6"," -156",",,6",,,,,,,,,"  -89",",,6",,,,,,,,,,,,,,,,
"USC00126056","1912-02-09","39.2401","-86.2295","210.3","NASHVILLE 2 NNE, IN US","    0","P,,6,","    0",",,6,",,,"  -44",",,6"," -200",",,6",,,,,,,,," -122",",,6",,,,,,,,,,,,,,,,
"USC00126056","1912-02-10","39.2401","-86.2295","210.3","NASHVILLE 2 NNE, IN US","    0","P,,6,","    0",",,6,",,,"  -33",",,6"," -217",",,6",,,,,,,,,"  -94",",,6",,,,,,,,,,,,,,,,
"USC00126056","1912-02-11","39.2401","-86.2295","210.3","NASHVILLE 2 NNE, IN US","    0","T,,6,","    0","T,,6,",,,"   94",",,6"," -172",",,6",,,,,,,,,"    0",",,6",,,,,,,,,,,,,,,,
"USC00126056","1912-02-12","39.2401","-86.2295","210.3","NASHVILLE 2 NNE, IN US","    0","P,,6,","    0",",,6,",,,"   11",",,6","  -83",",,6",,,,,,,,,"  -83",",,6",,,,,,,,,,,,,,,,
