"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1KYJS0002","2008-08-20","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-08-21","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-08-22","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-08-23","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-08-24","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-08-25","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-08-26","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-08-27","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","   30",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-08-28","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-08-29","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-08-30","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-08-31","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-09-01","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-09-03","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-09-04","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-09-05","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-09-06","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-09-07","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-09-08","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-09-09","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-09-10","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-09-11","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-09-23","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-09-24","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-09-25","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-09-26","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-09-27","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-09-28","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-09-29","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-09-30","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","  102",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-10-01","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-10-02","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-10-03","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-10-04","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYJS0002","2008-10-05","37.861834","-84.588233","284.4","NICHOLASVILLE 1.2 SSW, KY US","    0",",,N","    0",",,N",,,,,,
