"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SN53","SN53_ATTRIBUTES","SN55","SN55_ATTRIBUTES","SX52","SX52_ATTRIBUTES","SX53","SX53_ATTRIBUTES","SX55","SX55_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00071200","2003-02-01","39.5917","-75.7325","24.4","BEAR 2 SW, DE US","   48",",,Z,","    0",",,Z","    0",",,Z","   28",",,Z","   11",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00071200","2003-02-02","39.5917","-75.7325","24.4","BEAR 2 SW, DE US","    0",",,Z,2400","    0",",,Z","    0",",,Z","   67",",,Z","    0",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00071200","2003-02-03","39.5917","-75.7325","24.4","BEAR 2 SW, DE US","    0",",,Z,2400","    0",",,Z","    0",",,Z","   89",",,Z","  -22",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00071200","2003-02-04","39.5917","-75.7325","24.4","BEAR 2 SW, DE US","  102",",,Z,2400","    0",",,Z","    0",",,Z","   89",",,Z","   17",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00071200","2003-02-05","39.5917","-75.7325","24.4","BEAR 2 SW, DE US","    0",",,Z,2400","    0",",,Z","    0",",,Z","   28",",,Z","  -50",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00071200","2003-02-06","39.5917","-75.7325","24.4","BEAR 2 SW, DE US","   30",",,Z,2400","   33",",,Z","   25",",,Z","   -6",",,Z","  -94",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00071200","2003-02-07","39.5917","-75.7325","24.4","BEAR 2 SW, DE US","   86",",,Z,2400","  137",",,Z","  178",",,Z","   17",",,Z","  -28",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00071200","2003-02-08","39.5917","-75.7325","24.4","BEAR 2 SW, DE US","    0",",,Z,2400","    0",",,Z","  127",",,Z","  -11",",,Z"," -128",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00071200","2003-02-09","39.5917","-75.7325","24.4","BEAR 2 SW, DE US","    0",",,Z,2400","    0",",,Z","  127",",,Z","   44",",,Z"," -144",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00071200","2003-02-10","39.5917","-75.7325","24.4","BEAR 2 SW, DE US","   28",",,Z,2400","   15",",,Z","  102",",,Z","   17",",,Z","  -33",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
