"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1UTSL0128","2022-05-21","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","    5",",,N",,,,,,,,,,
"US1UTSL0128","2022-05-29","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   76",",,N",,,,,,,,,,
"US1UTSL0128","2022-05-30","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   71",",,N",,,,,,,,,,
"US1UTSL0128","2022-05-31","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   69",",,N",,,,,,,,,,
"US1UTSL0128","2022-06-14","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","  122",",,N",,,,,,,,,,
"US1UTSL0128","2022-06-21","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   33",",,N",,,,,,,,,,
"US1UTSL0128","2022-06-24","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","  124",",,N",,,,,,,,,,
"US1UTSL0128","2022-06-29","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","    5",",,N",,,,,,,,,,
"US1UTSL0128","2022-06-30","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","    8",",,N",,,,,,,,,,
"US1UTSL0128","2022-07-01","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   25",",,N",,,,,,,,,,
"US1UTSL0128","2022-07-14","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   43",",,N",,,,,,,,,,
"US1UTSL0128","2022-07-16","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   25",",,N",,,,,,,,,,
"US1UTSL0128","2022-07-18","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   15",",,N",,,,,,,,,,
"US1UTSL0128","2022-08-02","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   38",",,N",,,,,,,,,,
"US1UTSL0128","2022-08-06","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   58",",,N",,,,,,,,,,
"US1UTSL0128","2022-08-11","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   10",",,N",,,,,,,,,,
"US1UTSL0128","2022-08-12","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   66",",,N",,,,,,,,,,
"US1UTSL0128","2022-08-14","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   74",",,N",,,,,,,,,,
"US1UTSL0128","2022-08-20","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","    3",",,N",,,,,,,,,,
"US1UTSL0128","2022-08-21","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   30",",,N",,,,,,,,,,
"US1UTSL0128","2022-09-14","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   43",",,N",,,,,,,,,,
"US1UTSL0128","2022-09-15","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","    8",",,N",,,,,,,,,,
"US1UTSL0128","2022-09-16","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   43",",,N",,,,,,,,,,
"US1UTSL0128","2022-09-22","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   33",",,N",,,,,,,,,,
"US1UTSL0128","2022-09-29","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   41",",,N",,,,,,,,,,
"US1UTSL0128","2022-10-23","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","  267",",,N",,,,,,,,,,
"US1UTSL0128","2022-10-24","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","    8",",,N",,,,,,,,,,
"US1UTSL0128","2022-10-27","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   51",",,N",,,,,,,,,,
"US1UTSL0128","2022-11-06","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   15",",,N",,,,,,,,,,
"US1UTSL0128","2022-11-09","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","  251",",,N",,,,,,,,,,
"US1UTSL0128","2022-11-29","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US",,,"  152",",,N",,,,,,,,
"US1UTSL0128","2022-12-02","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US",,,"  102",",,N",,,,,,,"  234",",,N"
"US1UTSL0128","2022-12-08","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US",,,"   76",",,N",,,,,,,,
"US1UTSL0128","2022-12-12","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US",,,"   25",",,N",,,,,,,,
"US1UTSL0128","2022-12-14","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US",,,,,"  246",",,N","    2",",L,N",,,,
"US1UTSL0128","2022-12-15","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US",,,"   51",",,N",,,,,,,,
"US1UTSL0128","2022-12-28","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   33",",,N","   81",",,N",,,,,,,,
"US1UTSL0128","2022-12-31","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   10",",,N",,,,,,,,,,
"US1UTSL0128","2023-01-01","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   89",",,N","  127",",,N",,,,,,,,
"US1UTSL0128","2023-01-02","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US",,,"  254",",,N","  381",",,N",,,,,,
"US1UTSL0128","2023-01-15","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US","   30",",,N",,,,,,,,,,
"US1UTSL0128","2023-01-17","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US",,,"   51",",,N",,,,,,,,
"US1UTSL0128","2023-01-18","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US",,,"   76",",,N",,,,,,,,
"US1UTSL0128","2023-01-23","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US",,,"   25",",,N",,,,,,,,
"US1UTSL0128","2023-01-25","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US",,,"   51",",,N",,,,,,,,
"US1UTSL0128","2023-01-30","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US",,,"   51",",,N",,,,,,,,
"US1UTSL0128","2023-02-22","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US",,,"  381",",,N",,,,,,,,
"US1UTSL0128","2023-02-23","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US",,,"  102",",,N",,,,,,,,
"US1UTSL0128","2023-03-05","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US",,,"   76",",,N",,,,,,,,
"US1UTSL0128","2023-03-06","40.566","-111.8264","1506.6","SANDY 1.5 E, UT US",,,"  152",",,N",,,,,,,,
