"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"US1TXRD0035","2017-05-03","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","    0","T,,N",,,,
"US1TXRD0035","2017-05-20","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","    5",",,N",,,,
"US1TXRD0035","2017-05-21","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","    0",",,N",,,,
"US1TXRD0035","2017-05-22","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","    0",",,N",,,,
"US1TXRD0035","2017-05-23","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","   13",",,N",,,,
"US1TXRD0035","2017-05-24","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","    0",",,N",,,,
"US1TXRD0035","2017-05-30","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","    5",",,N",,,,
"US1TXRD0035","2017-05-31","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","    0",",,N",,,,
"US1TXRD0035","2017-06-02","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","    0",",,N",,,,
"US1TXRD0035","2017-06-03","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","    0",",,N",,,,
"US1TXRD0035","2017-06-04","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","   79",",,N",,,,
"US1TXRD0035","2017-06-06","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","    0",",,N",,,,
"US1TXRD0035","2017-06-09","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","  335",",,N",,,,
"US1TXRD0035","2017-06-23","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","   15",",,N",,,,
"US1TXRD0035","2017-06-24","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","   91",",,N",,,,
"US1TXRD0035","2017-06-26","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","  330",",,N",,,,
"US1TXRD0035","2017-07-02","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","   89",",,N",,,,
"US1TXRD0035","2017-07-03","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","   46",",,N",,,,
"US1TXRD0035","2017-07-04","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","    5",",,N",,,,
"US1TXRD0035","2017-07-05","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","   86",",,N",,,,
"US1TXRD0035","2017-07-06","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","    0",",,N",,,,
"US1TXRD0035","2017-07-16","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","    3",",,N",,,,
"US1TXRD0035","2017-07-23","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","   18",",,N",,,,
"US1TXRD0035","2017-07-27","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","   13",",,N",,,,
"US1TXRD0035","2017-07-30","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","    8",",,N",,,,
"US1TXRD0035","2017-07-31","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","   33",",,N",,,,
"US1TXRD0035","2017-08-01","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","   25",",,N",,,,
"US1TXRD0035","2017-08-04","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","   25",",,N",,,,
"US1TXRD0035","2017-08-06","35.133904","-101.799731","1104.6","AMARILLO 4.9 SSE, TX US","   20",",,N",,,,
