"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00248314","1957-04-01","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","  249",",,0","  178",",,0","  102",",,0","   94",",,0","  -11",",,0",,,,,"  -11",",,0",,,,,,,,,,,,
"USC00248314","1957-04-02","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","    0",",,0","    0",",,0","   51",",,0","  106",",,0"," -122",",,0",,,,,"    6",",,0",,,,,,,,,,,,
"USC00248314","1957-04-03","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","    0",",,0","    0",",,0","    0",",,0","  100",",,0","  -28",",,0",,,,,"   11",",,0",,,,,,,,,,,,
"USC00248314","1957-04-04","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","    0",",,0","    0",",,0","    0",",,0","   94",",,0","  -22",",,0",,,,,"   44",",,0",,,,,,,,,,,,
"USC00248314","1957-04-05","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","    0",",,0","    0",",,0","    0",",,0","  100",",,0","  -28",",,0",,,,,"   67",",,0",,,,,,,,,,,,
"USC00248314","1957-04-06","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","    0",",,0","    0",",,0","    0",",,0","   72",",,0","    6",",,0",,,,,"   17",",,0",,,,,,,,,,,,
"USC00248314","1957-04-07","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","    0","T,,0","    0","T,,0","    0",",,0","   78",",,0","  -56",",,0",,,,,"   39",",,0",,,,,,,,,,,,
"USC00248314","1957-04-08","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","    0",",,0","    0",",,0","    0",",,0","  122",",,0","    0",",,0",,,,,"   72",",,0",,,,,,,,,,,,
"USC00248314","1957-04-09","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","    5",",,0","    0",",,0","    0",",,0","  150",",,0","    6",",,0",,,,,"   89",",,0",,,,,,,,,,,,
"USC00248314","1957-04-10","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","    0",",,0","    0",",,0","    0",",,0","   89",",,0","  -28",",,0",,,,,"  -22",",,0",,,,,,,,,,,,
"USC00248314","1957-04-11","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","    0",",,0","    0",",,0","    0",",,0","   44",",,0","  -72",",,0",,,,,"    6",",,0",,,,,,,,,,,,
"USC00248314","1957-04-12","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","   10",",,0","   25",",,0","    0","T,,0","   17",",,0","  -89",",,0",,,,,"  -11",",,0",,,,,,,,,,,,
"USC00248314","1957-04-13","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","   25",",,0","   25",",,0","    0",",,0","  106",",,0","  -39",",,0",,,,,"   78",",,0",,,,,,,,,,,,
"USC00248314","1957-04-14","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","    0",",,0","    0",",,0","    0",",,0","  183",",,0","  -22",",,0",,,,,"   83",",,0",,,,,,,,,,,,
"USC00248314","1957-04-15","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","    0",",,0","    0",",,0","    0",",,0","  128",",,0","  -33",",,0",,,,,"   78",",,0",,,,,,,,,,,,
"USC00248314","1957-04-16","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","    0",",,0","    0",",,0","    0",",,0","  133",",,0","  -61",",,0",,,,,"   94",",,0",,,,,,,,,,,,
"USC00248314","1957-04-17","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","    0",",,0","    0",",,0","    0",",,0","  144",",,0","   11",",,0",,,,,"   67",",,0",,,,,,,,,,,,
"USC00248314","1957-04-18","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","   30",",,0","    0",",,0","    0",",,0","  117",",,0","  -17",",,0",,,,,"   89",",,0",,,,,,,,,,,,
"USC00248314","1957-04-19","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","    8",",,0","    0",",,0","    0",",,0","  133",",,0","    0",",,0",,,,,"   89",",,0",,,,,,,,,,,,
"USC00248314","1957-04-20","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","    5",",,0","    0",",,0","    0",",,0","  167",",,0","  -22",",,0",,,,,"   83",",,0",,,,,,,,,,,,
"USC00248314","1957-04-21","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","    0","T,,0","    0",",,0","    0",",,0","  183",",,0","   11",",,0",,,,,"  111",",,0",,,,,,,,,,,,
"USC00248314","1957-04-22","46.16667","-111.46667","1199.1","TOSTON 1 W, MT US","    0",",,0","    0",",,0","    0",",,0","  183",",,0","  -11",",,0",,,,,"  139",",,0",,,,,,,,,,,,
