"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00387113","1928-02-21","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  194",",,6",,,,,,,,,,,,,,,,,,,,,"  106",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-02-22","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","  328",",,6,","    0",",,6,","    0",",,6,","  106",",,6","  -56",",,6",,,,,,,,,,,,,,,,,,,"   28",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-02-23","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","   94",",,6,","    0",",,6,","    0",",,6,","  206",",,6","   17",",,6",,,,,,,,,,,,,,,,,,,"  144",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-02-24","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  167",",,6","   17",",,6",,,,,,,,,,,,,,,,,,,"  144",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-02-25","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  150",",,6","   28",",,6",,,,,,,,,,,,,,,,,,,"   78",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-02-26","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  133",",,6","  -39",",,6",,,,,,,,,,,,,,,,,,,"   56",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-02-27","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  144",",,6","  -72",",,6",,,,,,,,,,,,,,,,,,,"  106",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-02-28","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  139",",,6","  -61",",,6",,,,,,,,,,,,,,,,,,,"  122",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-02-29","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  172",",,6","  -39",",,6",,,,,,,,,,,,,,,,,,,"  161",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-01","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  161",",,6","   50",",,6",,,,,,,,,,,,,,,,,,,"  133",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-02","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  133",",,6","    6",",,6",,,,,,,,,,,,,,,,,,,"  100",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-03","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  172",",,6",,,,,,,,,,,,,,,,,,,,,"  111",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-04","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","   41",",,6,","    0",",,6,","    0",",,6,","  139",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,"   61",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-05","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  156",",,6","   17",",,6",,,,,,,,,,,,,,,,,,,"  139",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-06","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  139",",,6","   17",",,6",,,,,,,,,,,,,,,,,,,"   72",",,6,",,,,,,,,,,,,,,,,,,,,,,
