"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00118146","1991-09-03","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  216",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-04","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-05","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-06","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-07","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-08","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","   13",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-09","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-10","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  246",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,"    1",",,0",,,,,,,,
"USC00118146","1991-09-11","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0","T,,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-12","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  254",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,"    1",",,0",,,,,,,,
"USC00118146","1991-09-13","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","   56",",,0,0700","    0","P,,0","    0","P,,0,",,,,,"    1",",,0","    1",",,0",,,,,,,,
"USC00118146","1991-09-14","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-15","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  165",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,"    1",",,0",,,,,,,,
"USC00118146","1991-09-16","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-17","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","   20",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-18","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-19","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-20","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-21","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","   43",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,"    1",",,0",,,,,,,"    1",",,0"
"USC00118146","1991-09-22","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-23","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-24","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-25","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-26","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-27","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  229",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-28","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-29","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-09-30","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-01","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0",",,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-02","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  516",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,"    1",",,0",,,,,,,,
"USC00118146","1991-10-03","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  432",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,"    1",",,0",,,,,,,,
"USC00118146","1991-10-04","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  513",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,"    1",",,0",,,,,,,,
"USC00118146","1991-10-05","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-06","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
