"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00209105","1928-06-30","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  272",",,6","   56",",,6","  250",",,6",,,,,,,,,,
"USC00209105","1928-07-01","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   25",",,6","    0",",,6","    0",",,6","  256",",,6","  106",",,6","  183",",,6",,,,,,,,,,
"USC00209105","1928-07-02","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  322",",,6","   83",",,6","  272",",,6",,,,,,,,,,
"USC00209105","1928-07-03","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   36",",,6","    0",",,6","    0",",,6","  283",",,6","  167",",,6","  217",",,6",,,,,,,,,,
"USC00209105","1928-07-04","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  267",",,6","  122",",,6","  211",",,6",,,,,,,,,,
"USC00209105","1928-07-05","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  250",",,6","   83",",,6","  222",",,6",,,,,,,,,,
"USC00209105","1928-07-06","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  294",",,6","   17",",,6","  228",",,6",,,,,,,,,,
"USC00209105","1928-07-07","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  328",",,6","  161",",,6","  200",",,6",,,,,,,,,,
"USC00209105","1928-07-08","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  350",",,6","  161",",,6","  239",",,6",,,,,,,,,,
"USC00209105","1928-07-09","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   74",",,6","    0",",,6","    0",",,6","  283",",,6","  189",",,6","  194",",,6",,,,,,,,,,
"USC00209105","1928-07-10","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  222",",,6","  161",",,6","  161",",,6",,,,,,,,,,
"USC00209105","1928-07-11","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  189",",,6","   50",",,6","  172",",,6",,,,,,,,,,
"USC00209105","1928-07-12","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  256",",,6","   28",",,6","  161",",,6",,,,,,,,,,
"USC00209105","1928-07-13","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  256",",,6","   50",",,6","  167",",,6",,,,,,,,,,
"USC00209105","1928-07-14","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0","T,,6","    0",",,6","    0",",,6","  222",",,6","  106",",,6","  178",",,6",,,,,,,,,,
"USC00209105","1928-07-15","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   30",",,6","    0",",,6","    0",",,6","  261",",,6","  128",",,6","  228",",,6",,,,,,,,,,
"USC00209105","1928-07-16","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  300",",,6","   89",",,6","  172",",,6",,,,,,,,,,
"USC00209105","1928-07-17","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  306",",,6","  150",",,6","  250",",,6",,,,,,,,,,
"USC00209105","1928-07-18","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","  475",",,6","    0",",,6","    0",",,6","  267",",,6","  117",",,6","  217",",,6",,,,,,,,,,
"USC00209105","1928-07-19","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   10",",,6","    0",",,6","    0",",,6","  261",",,6","   94",",,6","  183",",,6",,,,,,,,,,
"USC00209105","1928-07-20","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","  168",",,6","    0",",,6","    0",",,6","  206",",,6","  139",",,6","  183",",,6",,,,,,,,,,
"USC00209105","1928-07-21","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  239",",,6","   94",",,6","  189",",,6",,,,,,,,,,
"USC00209105","1928-07-22","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0","T,,6","    0",",,6","    0",",,6","  239",",,6","  128",",,6","  172",",,6",,,,,,,,,,
"USC00209105","1928-07-23","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  278",",,6","   56",",,6","  211",",,6",,,,,,,,,,
"USC00209105","1928-07-24","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  289",",,6","   78",",,6","  200",",,6",,,,,,,,,,
"USC00209105","1928-07-25","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  250",",,6","  133",",,6","  194",",,6",,,,,,,,,,
"USC00209105","1928-07-26","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   23",",,6","    0",",,6","    0",",,6","  239",",,6","   72",",,6","  183",",,6",,,,,,,,,,
"USC00209105","1928-07-27","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   71",",,6","    0",",,6","    0",",,6","  200",",,6","  139",",,6","  139",",,6",,,,,,,,,,
"USC00209105","1928-07-28","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   10",",,6","    0",",,6","    0",",,6","  200",",,6","   83",",,6","  150",",,6",,,,,,,,,,
"USC00209105","1928-07-29","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  200",",,6","    6",",,6","  128",",,6",,,,,,,,,,
"USC00209105","1928-07-30","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  256",",,6","    6",",,6","  156",",,6",,,,,,,,,,
"USC00209105","1928-07-31","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0","T,,6","    0",",,6","    0",",,6","  272",",,6","   83",",,6","  200",",,6",,,,,,,,,,
"USC00209105","1928-08-01","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  267",",,6","  106",",,6","  189",",,6",,,,,,,,,,
"USC00209105","1928-08-02","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   23",",,6","    0",",,6","    0",",,6","  261",",,6","  150",",,6","  239",",,6",,,,,,,,,,
"USC00209105","1928-08-03","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   20",",,6","    0",",,6","    0",",,6","  272",",,6","  178",",,6","  211",",,6",,,,,,,,,,
"USC00209105","1928-08-04","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   56",",,6","    0",",,6","    0",",,6","  211",",,6","  178",",,6","  178",",,6",,,,,,,,,,
"USC00209105","1928-08-05","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    3",",,6","    0",",,6","    0",",,6","  239",",,6","  156",",,6","  217",",,6",,,,,,,,,,
"USC00209105","1928-08-06","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  244",",,6","   78",",,6","  217",",,6",,,,,,,,,,
"USC00209105","1928-08-07","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  300",",,6","   94",",,6","  267",",,6",,,,,,,,,,
"USC00209105","1928-08-08","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  300",",,6","  111",",,6","  233",",,6",,,,,,,,,,
"USC00209105","1928-08-09","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  317",",,6","  111",",,6","  217",",,6",,,,,,,,,,
"USC00209105","1928-08-10","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   20",",,6","    0",",,6","    0",",,6","  261",",,6","  106",",,6","  161",",,6",,,,,,,,,,
"USC00209105","1928-08-11","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  228",",,6","   39",",,6","  200",",,6",,,,,,,,,,
"USC00209105","1928-08-12","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  261",",,6","   17",",,6","  133",",,6",,,,,,,,,,
"USC00209105","1928-08-13","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  289",",,6","   39",",,6","  206",",,6",,,,,,,,,,
"USC00209105","1928-08-14","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  300",",,6","   44",",,6","  228",",,6",,,,,,,,,,
"USC00209105","1928-08-15","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  322",",,6","   56",",,6","  183",",,6",,,,,,,,,,
"USC00209105","1928-08-16","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  339",",,6","   78",",,6","  178",",,6",,,,,,,,,,
"USC00209105","1928-08-17","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   97",",,6","    0",",,6","    0",",,6","  211",",,6","  128",",,6","  189",",,6",,,,,,,,,,
"USC00209105","1928-08-18","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0","T,,6","    0",",,6","    0",",,6","  239",",,6","  122",",,6","  161",",,6",,,,,,,,,,
"USC00209105","1928-08-19","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0","T,,6","    0",",,6","    0",",,6","  272",",,6","   83",",,6","  183",",,6",,,,,,,,,,
"USC00209105","1928-08-20","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   36",",,6","    0",",,6","    0",",,6","  300",",,6","   61",",,6","  178",",,6",,,,,,,,,,
"USC00209105","1928-08-21","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   41",",,6","    0",",,6","    0",",,6","  211",",,6","  139",",,6","  139",",,6",,,,,,,,,,
"USC00209105","1928-08-22","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0","P,,6","    0",",,6","    0",",,6","  267",",,6","    6",",,6","  172",",,6",,,,,,,,,,
"USC00209105","1928-08-23","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   20",",,6","    0",",,6","    0",",,6","  200",",,6","   78",",,6","  178",",,6",,,,,,,,,,
