"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1INGR0004","2009-07-23","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   33",",,N",,
"US1INGR0004","2009-07-25","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   53",",,N",,
"US1INGR0004","2009-07-26","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   20",",,N",,
"US1INGR0004","2009-07-29","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","  183",",,N",,
"US1INGR0004","2009-08-02","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   25",",,N",,
"US1INGR0004","2009-08-04","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   81",",,N",,
"US1INGR0004","2009-08-05","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   38",",,N",,
"US1INGR0004","2009-08-12","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   38",",,N",,
"US1INGR0004","2009-08-17","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   20",",,N",,
"US1INGR0004","2009-08-18","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","  145",",,N",,
"US1INGR0004","2009-08-19","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2009-08-20","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","  196",",,N",,
"US1INGR0004","2009-08-22","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   69",",,N",,
"US1INGR0004","2009-08-23","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0","T,,N",,
"US1INGR0004","2009-08-29","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   79",",,N",,
"US1INGR0004","2009-09-07","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   23",",,N",,
"US1INGR0004","2009-09-09","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    5",",,N",,
"US1INGR0004","2009-09-21","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   76",",,N",,
"US1INGR0004","2009-09-22","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   36",",,N",,
"US1INGR0004","2009-09-25","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   41",",,N",,
"US1INGR0004","2009-09-28","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   25",",,N",,
"US1INGR0004","2009-10-03","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","  351",",,N",,
