"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00196783","1960-01-29","42.524","-71.1249","33.5","READING, MA US","    0","T,,0,2200","    0","T,,0,","  127",",,0,","   72",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-30","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","  102",",,0,","   50",",,0","  -89",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-31","42.524","-71.1249","33.5","READING, MA US","    5",",,0,2200","    8",",,0,","  102",",,0,","  -22",",,0"," -111",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-01","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","  102",",,0,","  -11",",,0","  -56",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-02","42.524","-71.1249","33.5","READING, MA US","    5",",,0,2200","    5",",,0,","  102",",,0,","    0",",,0","  -50",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-03","42.524","-71.1249","33.5","READING, MA US","   13",",,0,2200","   15",",,0,","  102",",,0,","   61",",,0","  -50",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-04","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","   76",",,0,","  122",",,0","  -83",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-05","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","   51",",,0,","   72",",,0","  -67",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-06","42.524","-71.1249","33.5","READING, MA US","  191",",,0,2200","    0",",,0,","   25",",,0,","   89",",,0","   22",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00196783","1960-02-07","42.524","-71.1249","33.5","READING, MA US","    0","T,,0,2200","    0","T,,0,","    0","T,,0,","   56",",,0","  -28",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-08","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0","T,,0,","   11",",,0","  -67",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-09","42.524","-71.1249","33.5","READING, MA US","   13",",,0,2200","   13",",,0,","    0","T,,0,","   89",",,0","  -22",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-10","42.524","-71.1249","33.5","READING, MA US","    0","T,,0,2200","    0",",,0,","    0","T,,0,","   72",",,0","  -17",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00196783","1960-02-11","42.524","-71.1249","33.5","READING, MA US","   46",",,0,2200","    0",",,0,","    0",",,0,","  139",",,0","   39",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00196783","1960-02-12","42.524","-71.1249","33.5","READING, MA US","   13",",,0,2200","    0",",,0,","    0",",,0,","   61",",,0","  -50",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,
