"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00012737","1998-06-01","34.315","-86.72556","318.5","EVA, AL US","    0",",,0,1800","    0","P,,0",,,"  322",",,0","  217",",,0","  239",",,0,1800",,,,,,,,,,
"USC00012737","1998-06-02","34.315","-86.72556","318.5","EVA, AL US","    0",",,0,1800","    0","P,,0","    0","P,,0","  333",",,0","  167",",,0","  294",",,0,1800",,,,,,,,,,
"USC00012737","1998-06-03","34.315","-86.72556","318.5","EVA, AL US","    0",",,0,1800","    0","P,,0","    0","P,,0","  328",",,0","  189",",,0","  283",",,0,1800",,,,,,,,,,
"USC00012737","1998-06-04","34.315","-86.72556","318.5","EVA, AL US","  521",",,0,1800","    0","P,,0","    0","P,,0","  283",",,0","  206",",,0","  206",",,0,1800",,,,,,,,,,
"USC00012737","1998-06-05","34.315","-86.72556","318.5","EVA, AL US","  183",",,0,1800","    0","P,,0","    0","P,,0","  289",",,0","  183",",,0","  200",",,0,1800",,,,,,,,,,
"USC00012737","1998-06-06","34.315","-86.72556","318.5","EVA, AL US","    3",",,0,1800","    0","P,,0","    0","P,,0","  206",",,0","  139",",,0","  183",",,0,1800",,,,,,,,,,
"USC00012737","1998-06-07","34.315","-86.72556","318.5","EVA, AL US","    0",",,0,1800","    0","P,,0","    0","P,,0","  233",",,0","   83",",,0","  206",",,0,1800",,,,,,,,,,
"USC00012737","1998-06-08","34.315","-86.72556","318.5","EVA, AL US","    0",",,0,1800","    0","P,,0","    0","P,,0","  261",",,0","  111",",,0","  233",",,0,1800",,,,,,,,,,
"USC00012737","1998-06-09","34.315","-86.72556","318.5","EVA, AL US","    0",",,0,1800","    0","P,,0","    0","P,,0","  294",",,0","  183",",,0","  211",",,0,1800",,,,,,,,,,
"USC00012737","1998-06-10","34.315","-86.72556","318.5","EVA, AL US","    0",",,0,1800","    0","P,,0","    0","P,,0","  317",",,0","  206",",,0","  278",",,0,1800",,,,,,,,,,
