"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"US1COPK0045","2004-02-11","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0","T,,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-02-12","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","   71",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-02-13","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-02-14","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-02-15","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-02-16","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-02-17","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-02-18","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-02-19","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-02-20","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","   41",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-02-21","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-02-22","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-02-23","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    5",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-02-24","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    3",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-02-25","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-02-26","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-02-27","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-02-28","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-02-29","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    5",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-03-01","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-03-02","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    5",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-03-03","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-03-04","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-03-05","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","   91",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-03-06","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",L,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-03-07","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",L,N","    0",",,N","    0",",,N","    2",",L,N","    0",",L,N",,
"US1COPK0045","2004-03-08","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-03-09","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-03-10","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-03-11","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    8",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-03-12","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-03-13","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1COPK0045","2004-03-14","38.8652","-105.3729","2705.1","FLORISSANT 7.2 SW, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
