"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"US1COPK0060","2004-05-03","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-04","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-05","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-06","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-07","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-08","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-09","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-10","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-11","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-12","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-13","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","   25",",,N","   10",",,N","   10",",,N",,
"US1COPK0060","2004-05-14","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-15","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-16","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-17","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-18","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-19","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-20","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-21","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-22","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-23","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-24","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-25","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-26","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-27","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-28","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-29","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0","T,,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-30","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0","T,,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-05-31","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-01","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-02","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-03","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-04","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-05","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-06","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-07","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-08","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-09","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-10","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    5",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-11","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0","T,,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-12","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-13","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-14","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-15","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-16","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-17","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-18","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    3",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-19","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    5",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-20","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    8",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-21","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-22","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","   18",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-23","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-24","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-25","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","   10",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-26","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","   18",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-27","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","   18",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-28","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","   43",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-29","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","  109",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-06-30","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","  165",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-01","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","   13",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-02","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-03","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-04","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-05","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-06","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    8",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-07","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-08","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-09","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-10","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-11","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","   13",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-12","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-13","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","   23",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-14","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
