"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES"
"US1COSU0001","2003-01-21","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","    0",",,N","    0",",,N",,
"US1COSU0001","2003-01-22","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","    0",",,N",,,"    0",",,N"
"US1COSU0001","2003-01-23","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","    0","T,,N","    0","T,,N",,
"US1COSU0001","2003-01-24","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","    0",",,N","    0",",,N",,
"US1COSU0001","2003-01-25","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","   33",",,N","   74",",,N",,
"US1COSU0001","2003-01-26","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","    3",",,N","    5",",,N",,
"US1COSU0001","2003-01-27","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","    0",",,N","    0",",,N",,
"US1COSU0001","2003-01-28","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","    0",",,N","    0",",,N",,
"US1COSU0001","2003-01-29","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","    0","T,,N","    0","T,,N",,
"US1COSU0001","2003-01-30","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","    0",",,N","    0",",,N",,
"US1COSU0001","2003-01-31","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","   18",",,N","   20",",,N",,
"US1COSU0001","2003-02-01","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","    0",",,N","    0",",,N",,
"US1COSU0001","2003-02-02","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","    0",",,N","    0",",,N",,
"US1COSU0001","2003-02-03","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","   71",",,N","  122",",,N",,
"US1COSU0001","2003-02-04","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","   20",",,N","   28",",,N",,
"US1COSU0001","2003-02-05","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","   51",",,N","   64",",,N",,
"US1COSU0001","2003-02-06","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","    8",",,N","   11",",,N","    0",",,N"
"US1COSU0001","2003-02-07","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","   13",",,N","   19",",,N",,
"US1COSU0001","2003-02-08","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","    0",",,N","    0",",,N",,
"US1COSU0001","2003-02-09","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","    3",",,N","    6",",,N",,
"US1COSU0001","2003-02-10","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","   13",",,N","   13",",,N",,
"US1COSU0001","2003-02-11","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","   13",",,N","   13",",,N",,
"US1COSU0001","2003-02-12","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","    0",",,N","    0",",,N",,
"US1COSU0001","2003-02-13","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","    0",",,N","    0",",,N",,
"US1COSU0001","2003-02-14","39.5029","-106.0579","2970.9","BRECKENRIDGE 1.8 NNW, CO US","   18",",,N","   25",",,N",,
