"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1INPT0125","2012-03-20","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0","T,,N",,,,,,,,
"US1INPT0125","2012-03-21","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N",,,,,,
"US1INPT0125","2012-03-22","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N",,,,,,
"US1INPT0125","2012-03-23","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","   36",",,N",,,,,,,,
"US1INPT0125","2012-04-02","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N",,,,,,
"US1INPT0125","2012-04-03","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N",,,,,,
"US1INPT0125","2012-04-04","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N",,,,,,
"US1INPT0125","2012-04-05","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N",,,,,,
"US1INPT0125","2012-04-09","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N",,,,,,
"US1INPT0125","2012-04-10","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N",,,,,,
"US1INPT0125","2012-04-11","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N",,,,,,
"US1INPT0125","2012-04-12","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N",,,,,,
"US1INPT0125","2012-04-13","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N",,,,,,
"US1INPT0125","2012-04-16","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","   94",",,N",,,,,,,,
"US1INPT0125","2012-04-17","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N",,,,,,
"US1INPT0125","2012-04-18","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N",,,,,,
"US1INPT0125","2012-04-19","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N",,,,,,
"US1INPT0125","2012-04-20","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N",,,,,,
