"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES"
"USC00404613","1948-09-01","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-02","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-03","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-04","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-05","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","   20",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-06","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","   81",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-07","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-08","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-09","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-10","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","   30",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-11","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","   23",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-12","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-13","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-14","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-15","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-16","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-17","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-18","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-19","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-20","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-21","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-22","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-23","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-24","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-25","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-26","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-27","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-28","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-29","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-09-30","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00404613","1948-10-01","36.12222","-83.47389","337.7","JEFFERSON CITY, TN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
