"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00253397","1996-12-02","40.93778","-98.33167","565.7","GRAND ISLAND, NE US","    5",",,0,2400","    0","T,,0,","    0","T,,0,","  -28",",,0","  -44",",,0","  -44",",,0,2400",,,,,,,,,,
"USC00253397","1996-12-03","40.93778","-98.33167","565.7","GRAND ISLAND, NE US","    0","P,,0,2400","    0",",,0,","    0",",,0,","   56",",,0","  -83",",,0","  -11",",,0,2400",,,,,,,,,,
"USC00253397","1996-12-04","40.93778","-98.33167","565.7","GRAND ISLAND, NE US","    3",",,0,2400","    0","T,,0,","    0","T,,0,","   33",",,0","  -39",",,0","  -33",",,0,2400",,,,,,,,,,
"USC00253397","1996-12-05","40.93778","-98.33167","565.7","GRAND ISLAND, NE US","    0","P,,0,2400","    0","P,,0,","    0","P,,0,","   33",",,0","  -89",",,0","    6",",,0,2400",,,,,,,,,,
"USC00253397","1996-12-06","40.93778","-98.33167","565.7","GRAND ISLAND, NE US","    0","P,,0,2400","    0","P,,0,","    0","P,,0,","   94",",,0","  -22",",,0","  -22",",,0,2400",,,,,,,,,,
"USC00253397","1996-12-07","40.93778","-98.33167","565.7","GRAND ISLAND, NE US","    0","P,,0,2400","    0","P,,0,","    0","P,,0,","  100",",,0","  -28",",,0","    6",",,0,2400",,,,,,,,,,
"USC00253397","1996-12-08","40.93778","-98.33167","565.7","GRAND ISLAND, NE US","    0","P,,0,2400","    0","P,,0,","    0","P,,0,","   67",",,0","  -50",",,0","  -22",",,0,2400",,,,,,,,,,
"USC00253397","1996-12-09","40.93778","-98.33167","565.7","GRAND ISLAND, NE US","    0","P,,0,2400","    0","P,,0,","    0","P,,0,","  100",",,0","  -22",",,0","   28",",,0,2400",,,,,,,,,,
"USC00253397","1996-12-10","40.93778","-98.33167","565.7","GRAND ISLAND, NE US","    0","P,,0,2400","    0","P,,0,","    0","P,,0,","   28",",,0","  -17",",,0","   -6",",,0,2400",,,,,,,,,,
"USC00253397","1996-12-11","40.93778","-98.33167","565.7","GRAND ISLAND, NE US","    0","P,,0,2400","    0","P,,0,","    0","P,,0,","  106",",,0","  -17",",,0","   28",",,0,2400",,,,,,,,,,
"USC00253397","1996-12-12","40.93778","-98.33167","565.7","GRAND ISLAND, NE US","    0","P,,0,2400","    0","P,,0,","    0","P,,0,","   94",",,0","  -28",",,0","   28",",,0,2400",,,,,,,,,,
"USC00253397","1996-12-13","40.93778","-98.33167","565.7","GRAND ISLAND, NE US","    0",",,0,2400","    0",",,0,","    0",",,0,","  117",",,0",,,"  -17",",,0,2400",,,,,,,,,,
"USC00253397","1996-12-14","40.93778","-98.33167","565.7","GRAND ISLAND, NE US","    0","T,,0,2400","    0","T,,0,","    0","T,,0,","   67",",,0","  -44",",,0","  -44",",,0,2400",,,,,,,,,,
"USC00253397","1996-12-15","40.93778","-98.33167","565.7","GRAND ISLAND, NE US","    0","P,,0,2400","    0","P,,0,","    0","P,,0,","   28",",,0","  -67",",,0","  -28",",,0,2400",,,,,,,,,,
"USC00253397","1996-12-16","40.93778","-98.33167","565.7","GRAND ISLAND, NE US","    0",",,0,2400","    0",",,0,","    0",",,0,","   44",",,0","  -78",",,0","  -72",",,0,2400",,,,,,,,,,
