datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,MIDATL,AE,AECO,872.020,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPAPT,4034.819,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPIMP,2882.936,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPKPT,605.882,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPOPT,6627.213,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,WEST,AP,AP,5051.124,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,MIDATL,BC,BC,2950.512,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,WEST,CE,CE,10278.035,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,WEST,DAY,DAY,1788.690,False
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,WEST,DEOK,DEOK,2546.589,False
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,SERC,SOUTH,DOM,DOM,12381.637,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1724.350,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,WEST,DUQ,DUQ,1348.335,False
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,MIDATL,DPL,EASTON,22.642,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,SERC,WEST,EKPC,EKPC,1512.010,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,MIDATL,JC,JC,2119.475,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,MIDATL,ME,ME,1545.340,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,WEST,ATSI,OE,6784.002,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,WEST,OVEC,OVEC,40.000,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,WEST,ATSI,PAPWR,519.174,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,MIDATL,PE,PE,3781.264,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2301.111,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,MIDATL,PL,PLCO,4235.396,False
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,MIDATL,PN,PN,1730.240,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,MIDATL,PS,PS,4321.549,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,MIDATL,RECO,RECO,133.892,False
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,MIDATL,PEP,SMECO,335.040,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,MIDATL,PL,UGI,121.474,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RFC,MIDATL,AE,VMEU,70.039,True
2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,RTO,RTO,RTO,RTO,82664.790,False
2/1/2025 6:00:00 AM,2/1/2025 1:00:00 AM,RFC,MIDATL,AE,AECO,839.543,True
2/1/2025 6:00:00 AM,2/1/2025 1:00:00 AM,RFC,WEST,AEP,AEPAPT,3967.623,True
2/1/2025 6:00:00 AM,2/1/2025 1:00:00 AM,RFC,WEST,AEP,AEPIMP,2846.289,True
2/1/2025 6:00:00 AM,2/1/2025 1:00:00 AM,RFC,WEST,AEP,AEPKPT,596.252,True
2/1/2025 6:00:00 AM,2/1/2025 1:00:00 AM,RFC,WEST,AEP,AEPOPT,6613.762,True
2/1/2025 6:00:00 AM,2/1/2025 1:00:00 AM,RFC,WEST,AP,AP,4965.345,True
2/1/2025 6:00:00 AM,2/1/2025 1:00:00 AM,RFC,MIDATL,BC,BC,2846.162,True
2/1/2025 6:00:00 AM,2/1/2025 1:00:00 AM,RFC,WEST,CE,CE,10012.432,True
2/1/2025 6:00:00 AM,2/1/2025 1:00:00 AM,RFC,WEST,DAY,DAY,1771.680,False
2/1/2025 6:00:00 AM,2/1/2025 1:00:00 AM,RFC,WEST,DEOK,DEOK,2538.323,False
2/1/2025 6:00:00 AM,2/1/2025 1:00:00 AM,SERC,SOUTH,DOM,DOM,12140.045,True
2/1/2025 6:00:00 AM,2/1/2025 1:00:00 AM,RFC,MIDATL,DPL,DPLCO,1664.985,True
2/1/2025 6:00:00 AM,2/1/2025 1:00:00 AM,RFC,WEST,DUQ,DUQ,1343.549,False
