state,county,county_lat,county_lon
arizona,santa cruz,31.526116886691327,-110.84647761605694
florida,holmes,30.868021406045965,-85.81436941751917
minnesota,lincoln,44.412212023757284,-96.26715633582704
montana,flathead,48.29368574179484,-114.04691128525835
nebraska,perkins,40.85069962757234,-101.65027786156898
north dakota,renville,48.71856916765163,-101.65707128152322
oklahoma,alfalfa,36.730748843056396,-98.32175436478781
georgia,clayton,33.54160072567504,-84.35764814217377
colorado,pueblo,38.17334433308406,-104.51247067615058
illinois,fayette,38.9999527411953,-89.0244119639292
indiana,tipton,40.31129839864491,-86.05195088992318
kansas,lyon,38.455688332552654,-96.15259373782276
illinois,dekalb,41.89347711468428,-88.77024957528818
minnesota,watonwan,43.97850356226933,-94.61420715646756
missouri,douglas,36.93283460130234,-92.49897766423423
mississippi,newton,32.40015874363172,-89.11871781178218
ohio,shelby,40.332009065990576,-84.2049725904169
north carolina,vance,36.36477170293233,-78.40791667844897
texas,reagan,31.366096871489397,-101.52327549235376
ohio,paulding,41.11680397332449,-84.58016246535828
illinois,effingham,39.05974305043738,-88.58980934371566
illinois,jefferson,38.30018680502173,-88.92402873536028
commonwealth of the northern mariana islands,saipan,15.189540718180185,145.7508956744932
michigan,calhoun,42.24632688603171,-85.00573781636578
texas,kendall,29.94480412489522,-98.71143981905733
colorado,jackson,40.66594035246568,-106.34232813117761
georgia,walker,34.735597124392925,-85.30064747914527
iowa,howard,43.35672036907753,-92.31707448771732
michigan,benzie,44.63910745085569,-86.01507453027938
mississippi,panola,34.36376997254296,-89.950790415153
new mexico,los alamos,35.86941863420127,-106.30723178204518
wisconsin,la crosse,43.90655404278789,-91.11496390746117
florida,lafayette,29.98556972667058,-83.1807340439035
illinois,stark,41.09327634420504,-89.79760062704047
indiana,fayette,39.63992737555405,-85.17841635351103
kentucky,franklin,38.23886473520448,-84.87712362501999
missouri,audrain,39.2161533406993,-91.8415636554591
nebraska,polk,41.18688713274339,-97.56833537329278
nebraska,clay,40.52444147845801,-98.05126399885935
ohio,auglaize,40.56101613304428,-84.22222884718823
pennsylvania,lebanon,40.36717496316458,-76.45776594086828
south dakota,hyde,44.54663319978856,-99.48703455040588
west virginia,clay,38.46256867627616,-81.0751714488514
west virginia,upshur,38.897809290604016,-80.23383396709022
wisconsin,price,45.68033332637476,-90.36132673138296
south dakota,faulk,45.07116802424798,-99.14537212536466
texas,jones,32.740166419167736,-99.8787000265401
georgia,haralson,33.794042077117695,-85.21087864543286
iowa,greene,42.03610353999258,-94.39657092067796
colorado,costilla,37.27798338783789,-105.42801578726537
illinois,crawford,39.00327203548049,-87.75983178742518
kansas,seward,37.193216213724746,-100.85108090423962
montana,liberty,48.561029696346765,-111.02352445262851
